iter	RMSE
352	564.5398719
353	564.4746691
354	564.4335121
355	564.3748361
356	564.3191834
357	564.2414264
358	564.2075016
359	564.154414
360	564.105914
361	564.075182
362	564.0259315
363	563.9770762
364	563.9118435
365	563.8651595
366	563.783919
367	563.7171583
368	563.6571036
369	563.6094498
370	563.5728352
371	563.4762197
372	563.403737
373	563.3426593
374	563.2931311
375	563.2306865
376	563.178637
377	563.1269198
378	563.0615012
379	563.0172733
380	562.9571028
381	562.8984178
382	562.8548041
383	562.7927893
384	562.6676563
385	562.5995173
386	562.5271752
387	562.4569257
388	562.4088465
389	562.3679185
390	562.3264662
391	562.2836825
392	562.2296422
393	562.1547297
394	562.1196135
395	562.1084076
396	562.0593568
397	561.9994897
398	561.9306687
399	561.875269
400	561.8093903
401	561.771867
402	561.7203407
403	561.6698901
404	561.6112511
405	561.547191
406	561.5170253
407	561.4738098
408	561.4170895
409	561.3274107
410	561.2639694
411	561.2175104
412	561.1839152
413	561.1322476
414	561.0859049
415	561.0484883
416	561.0211687
417	560.9569227
418	560.9116448
419	560.869259
420	560.8162782
421	560.7737749
422	560.7153495
423	560.667409
424	560.6359889
425	560.5855458
426	560.5392085
427	560.4993056
428	560.444968
429	560.3861463
430	560.3545548
431	560.3032701
432	560.2455861
433	560.1932849
434	560.1391306
435	560.1055868
436	560.0499317
437	560.0335165
438	559.9974585
439	559.9541043
440	559.9079487
441	559.8647106
442	559.8113728
443	559.7555255
444	559.707368
445	559.6640788
446	559.6182847
447	559.576193
448	559.5286511
449	559.483869
450	559.4311024
451	559.3783936
452	559.324858
453	559.2787291
454	559.2256653
455	559.1874642
456	559.1685951
457	559.1027669
458	559.0702967
459	559.0215782
460	558.9700611
461	558.9340672
462	558.8990914
463	558.8465358
464	558.8058798
465	558.7579492
466	558.7256229
467	558.6933269
468	558.6645314
469	558.6382041
470	558.5331052
471	558.4984575
472	558.4215663
473	558.3640796
474	558.3081508
475	558.2519604
476	558.2285938
477	558.1989084
478	558.166702
479	558.127267
480	558.0713835
481	558.0428987
482	558.0009809
483	557.9864547
484	557.9475784
485	557.9006191
486	557.8613625
487	557.8257289
488	557.8152246
489	557.7660713
490	557.7141318
491	557.6685418
492	557.6480061
493	557.6063298
494	557.5574824
495	557.5267967
496	557.4890307
497	557.4405818
498	557.4322032
499	557.3962508
500	557.3552673
501	557.2147764
502	557.1813898
503	557.1346205
504	557.0776706
505	557.0416795
506	556.9981513
507	556.9528175
508	556.9229429
509	556.8912132
510	556.8566393
511	556.8133533
512	556.718121
513	556.7022136
514	556.6573927
515	556.6022417
516	556.5644004
517	556.5354051
518	556.4456352
519	556.4177561
520	556.3855106
521	556.3423047
522	556.314355
523	556.2556734
524	556.1989468
525	556.1725182
526	556.148575
527	556.1018582
528	556.0683483
529	556.0439018
530	556.0177611
531	555.9964429
532	555.9872889
533	555.9371912
534	555.9108005
535	555.8279994
536	555.7497429
537	555.7095272
538	555.667174
539	555.6248237
540	555.6062633
541	555.5704128
542	555.5270878
543	555.5054362
544	555.4571265
545	555.4408159
546	555.3701753
547	555.3393266
548	555.2847291
549	555.2537481
550	555.2138259
551	555.1812628
552	555.1582776
553	555.1164755
554	555.1003359
555	555.0775706
556	555.0457151
557	555.0287306
558	555.0104419
559	554.9671611
560	554.9572087
561	554.9262445
562	554.9016876
563	554.8049268
564	554.7916543
565	554.7711076
566	554.7405569
567	554.72269
568	554.6993177
569	554.6385703
570	554.600531
571	554.5787508
572	554.5252168
573	554.4944494
574	554.4576184
575	554.4215759
576	554.3896204
577	554.3521815
578	554.2703157
579	554.230328
580	554.1993388
581	554.1604838
582	554.1344943
583	554.0910672
584	554.0557336
585	554.0305528
586	553.9871175
587	553.9323573
588	553.9008866
589	553.8725799
590	553.8222467
591	553.7917038
592	553.7449418
593	553.6924849
594	553.646188
595	553.6063169
596	553.536988
597	553.4765621
598	553.4514993
599	553.4215423
